InstrumentID,Ticker,PriceSource
2224,PRS.OL,Xignite
2225,NCH2.DE,Xetra
2226,STB.OL,Xignite
2227,SUBC.OL,Xignite
2228,TEL.OL,Xignite
2229,TGS.OL,Xignite
2230,YAR.OL,Xignite
2231,ERIC-A.ST,Xignite
2232,TELIA.ST,Xignite
2233,NDA_SE.ST,Xignite
2234,VOLV-A.ST,Xignite
2235,SEB-A.ST,Xignite
2236,SAND.ST,Xignite
2237,HM-B.ST,Xignite
2238,CEBP.DE11,Xetra
2239,SHB-A.ST,Xignite
2240,SKF-A.ST,Xignite
2241,SWED-A.ST,Xignite
2242,ASSA-B.ST,Xignite
2243,ATCO-A.ST,Xignite
2244,BOL.ST,Xignite
2246,ALFA.ST,Xignite
2248,SECU-B.ST,Xignite
2249,SKA-B.ST,Xignite
2250,INVE-A.ST,Xignite
2251,ORRON.ST,Xignite
2252,TREL-B.ST,Xignite
2253,SWMA.ST,Xignite
2254,HEXA-B.ST,Xignite
2256,ICA.ST,Xignite
2257,INDU-A.ST,Xignite
2258,LUND-B.ST,Xignite
2259,KTN.DE,Xetra
2260,NOVO-B.CO,Xignite
2261,DANSKE.CO,Xignite
2262,ORSTED.CO,Xignite
2263,VWS.CO,Xignite
2264,NSIS-B.CO,Xignite
2265,PNDORA.CO,Xignite
2266,TRYG.CO,Xignite
2267,DSV.CO,Xignite
2268,DEMANT.CO,Xignite
2269,ISS.CO,Xignite
2270,HLUNB.CO,Xignite
2271,GMAB.CO,Xignite
2272,COLO-B.CO,Xignite
2274,CHR.CO,Xignite
2276,CEMG.DE11,Xetra
2277,NDA1V.HE,Xignite
2278,SSABAH.HE,Xignite
2280,FORTUM.HE,Xignite
2281,UPM.HE,Xignite
2282,NESTE.HE,Xignite
2283,KNEBV.HE,Xignite
2284,SAMPO.HE,Xignite
2285,ELISA.HE,Xignite
2286,TYRES.HE,Xignite
2287,WRT1V.HE,Xignite
2289,HWC,NASDAQ
2290,IMO,NASDAQ
2291,TFIN,NASDAQ
2292,WHD,NASDAQ
2293,DCP,NASDAQ
2294,BOKF,NASDAQ
2295,GBCI,NASDAQ
2296,CBU,NASDAQ
2297,NEX,NASDAQ
2298,CVBF,NASDAQ
2299,FULT,NASDAQ
2300,0939.HK,Xignite
2301,3988.HK,Xignite
2302,1398.HK,Xignite
2303,1288.HK,Xignite
2304,0386.HK,Xignite
2305,0883.HK,Xignite
2306,2007.HK,Xignite
2307,0998.HK,Xignite
2308,1988.HK,Xignite
2309,1339.HK,Xignite
2310,3323.HK,Xignite
2311,1359.HK,Xignite
2312,0992.HK,Xignite
2313,1088.HK,Xignite
2314,1171.HK,Xignite
2315,1800.HK,Xignite
2316,2318.HK,Xignite
2317,3800.HK,Xignite
2318,0902.HK,Xignite
2319,2328.HK,Xignite
2320,0762.HK,Xignite
2321,0728.HK,Xignite
2322,1816.HK,Xignite
2323,2899.HK,Xignite
2324,2628.HK,Xignite
2325,1898.HK,Xignite
2326,0494.HK,Xignite
2327,3328.HK,Xignite
2328,0753.HK,Xignite
2329,0968.HK,Xignite
2330,0688.HK,Xignite
2331,2333.HK,Xignite
2332,2883.HK,Xignite
2333,0916.HK,Xignite
2334,1299.HK,Xignite
2335,0390.HK,Xignite
2336,2338.HK,Xignite
2337,2601.HK,Xignite
2338,3968.HK,Xignite
2339,0700.HK,Xignite
2340,2238.HK,Xignite
2341,1966.HK,Xignite
2342,0941.HK,Xignite
2343,0489.HK,Xignite
2344,6030.HK,Xignite
2345,1628.HK,Xignite
2346,0914.HK,Xignite
2347,0656.HK,Xignite
2348,1618.HK,Xignite
2349,1109.HK,Xignite
2350,1186.HK,Xignite
2351,00001.HK,Xignite
2352,00002.HK,Xignite
2353,00006.HK,Xignite
2354,00011.HK,Xignite
2355,00016.HK,Xignite
2356,00017.HK,Xignite
2357,00019.HK,Xignite
2358,00027.HK,Xignite
2359,00135.HK,Xignite
2360,00175.HK,Xignite
2361,00241.HK,Xignite
2362,00257.HK,Xignite
2363,00268.HK,Xignite
2364,00285.HK,Xignite
2365,00322.HK,Xignite
2366,00384.HK,Xignite
2367,00388.HK,Xignite
2368,00763.HK,Xignite
2369,00788.HK,Xignite
2370,00857.HK,Xignite
2371,00880.HK,Xignite
2372,00966.HK,Xignite
2373,00981.HK,Xignite
2374,01055.HK,Xignite
2375,01093.HK,Xignite
2376,01113.HK,Xignite
2377,01114.HK,Xignite
2378,01128.HK,Xignite
2379,01177.HK,Xignite
2380,01211.HK,Xignite
2381,01336.HK,Xignite
2382,01928.HK,Xignite
2383,02018.HK,Xignite
2384,02020.HK,Xignite
2385,02196.HK,Xignite
2386,02269.HK,Xignite
2387,02313.HK,Xignite
2388,02319.HK,Xignite
2389,02382.HK,Xignite
2390,02386.HK,Xignite
2391,02388.HK,Xignite
2392,02688.HK,Xignite
2393,03333.HK,Xignite
2394,03690.HK,Xignite
2395,03908.HK,Xignite
2396,03993.HK,Xignite
2397,06060.HK,Xignite
2398,06837.HK,Xignite
2399,06862.HK,Xignite
2400,06881.HK,Xignite
2401,06886.HK,Xignite
2402,9988.HK,Xignite
2403,01122.HK,Xignite
2404,1958.HK,Xignite
2405,1585.HK,Xignite
2406,3.HK,Xignite
2407,12.HK,Xignite
2408,83.HK,Xignite
2409,101.HK,Xignite
2410,151.HK,Xignite
2411,IBCK.DE,Xignite
2412,1801.HK,Xignite
2413,341.HK,Xignite
2414,669.HK,Xignite
2415,823.HK,Xignite
2416,1038.HK,Xignite
2417,1044.HK,Xignite
2418,1317.HK,Xignite
2419,1530.HK,Xignite
2420,1797.HK,Xignite
2421,1873.HK,Xignite
2422,1997.HK,Xignite
2423,2013.HK,Xignite
2424,9658.HK,Xignite
2425,6185.HK,Xignite
2426,778.HK,Xignite
2427,SXRG.DE,Xignite
2428,9618.HK,Xignite
2429,9926.HK,Xignite
2430,200.HK,Xignite
2431,CATY,NASDAQ
2432,IBTX,NASDAQ
2433,SFBS,NASDAQ
2434,FHB,NASDAQ
2435,BOH,NASDAQ
2436,EBC,NASDAQ
2437,SFNC,NASDAQ
2438,CASH,NASDAQ
2439,HTH,NASDAQ
2440,LKFN,NASDAQ
2441,HESM,NASDAQ
2442,HOMB,NASDAQ
2443,PPBI,NASDAQ
2444,SXR7.DE,Xignite
2445,PETS.US,NASDAQ
2446,TBBK,NASDAQ
2447,MCB,NASDAQ
2448,VBTX,NASDAQ
2449,OII,NASDAQ
2450,FBNC,NASDAQ
2451,BATRK,NASDAQ
2452,PETQ,NASDAQ
2453,ELMS,NASDAQ
2454,WCN,NASDAQ
2455,FIVN,NASDAQ
2456,TU,NASDAQ
2457,HIMX,NASDAQ
2458,STERV.HE,Xignite
2459,NJR,NASDAQ
2460,OGS,NASDAQ
2461,FTS,NASDAQ
2462,ATC,NASDAQ
2463,GMAB.US,NASDAQ
2464,AEIS,NASDAQ
2465,PAR,NASDAQ
2466,PTRAQ,NASDAQ
2467,RCI,NASDAQ
2468,AVA,NASDAQ
2469,MSEX,NASDAQ
2470,ALE,NASDAQ
2471,AWR,NASDAQ
2472,HE,NASDAQ
2473,IS3N.DE11,Xignite
2474,PSN.US,NASDAQ
2475,CWT,NASDAQ
2476,OXM,NASDAQ
2477,EVTC,NASDAQ
2478,EUN0.DE,Xignite
2479,BAK,NASDAQ
2480,IBCC.DE11,Xignite
2481,CIFR,NASDAQ
2482,ORANTST,NASDAQ
2483,MBLY,NASDAQ
2484,NXT.US,NASDAQ
2485,ENLT,NASDAQ
2486,TEST.ETH,NASDAQ
2487,ATAI,NASDAQ
2488,DAVE,NASDAQ
2489,TOP.US,NASDAQ
2490,BABA.EXT,NASDAQ
2491,PYPL.EXT,NASDAQ
2492,DIS.EXT,NASDAQ
2493,AMD.EXT,NASDAQ
